context,question,gold,category,predicted,exact_match,numeric_faithful,hybrid_f1
"• The average financial literacy score across all participating countries and economies is 60 out of 100 points (63 out of 100 across participating OECD countries). On average across all participating countries and economies, only 34% of adults reached the minimum target score on financial  7 OECD/INFE 2023 INTERNATIONAL SURVEY OF ADULT FINANCIAL LITERACY © OECD 2023 literacy, defined as scoring at least 70 out of 100 points (39% across participating OECD countries). Adults who have attained a higher level of formal education, adults with higher incomes, as well as adults who are employed have higher levels of financial literacy in many participating countries and economies.","According to the text, fill in the blank: On average across all participating countries and economies, only ___ of adults reached the minimum target score on financial  7 OECD/INFE 2023 INTERNATIONAL SURVEY OF ADULT FINANCIAL LITERACY © OECD 2023 literacy, defined as scoring at least 70 out of 100 points (39% across participating OECD countries).?",34%,Knowledge - Statistics,34%,1,1.0,1.0
"On average across all participating countries and economies, only 34% of adults reached the minimum target score on financial  7 OECD/INFE 2023 INTERNATIONAL SURVEY OF ADULT FINANCIAL LITERACY © OECD 2023 literacy, defined as scoring at least 70 out of 100 points (39% across participating OECD countries). Adults who have attained a higher level of formal education, adults with higher incomes, as well as adults who are employed have higher levels of financial literacy in many participating countries and economies. • In terms of financial knowledge, some 84% of adults understand the definition of inflation, but only 63% can apply the concept of time value of money to their own savings, on average across participating countries and economies.","True or False: Based on the provided text, Adults who have attained a higher level of formal education, adults with higher incomes, as well as adults who are employed have higher levels of financial literacy in many participating countries and economies.",True,Knowledge - Fact Verification,True,1,,1.0
"Adults who have attained a higher level of formal education, adults with higher incomes, as well as adults who are employed have higher levels of financial literacy in many participating countries and economies. • In terms of financial knowledge, some 84% of adults understand the definition of inflation, but only 63% can apply the concept of time value of money to their own savings, on average across participating countries and economies. The percentage of adults who understand the time value of money has increased in all countries with comparable data since the previous assessment in 2019, potentially due to the context of high inflation in many participating countries at the time when the survey took place.","According to the text, fill in the blank: • In terms of financial knowledge, some ___ of adults understand the definition of inflation, but only 63% can apply the concept of time value of money to their own savings, on average across participating countries and economies.?",84%,Knowledge - Statistics,84%,1,1.0,1.0
"The percentage of adults who understand the time value of money has increased in all countries with comparable data since the previous assessment in 2019, potentially due to the context of high inflation in many participating countries at the time when the survey took place. Furthermore, findings show that some 77% of adults understand the relationship between risk and reward, yet only 42% of adults can correctly answer a question about compound interest, on average across participating countries and economies. Even among adults who hold savings products across participating countries and economies, only 46% understand compound interest.","According to the text, fill in the blank: Furthermore, findings show that some ___ of adults understand the relationship between risk and reward, yet only 42% of adults can correctly answer a question about compound interest, on average across participating countries and economies.?",77%,Knowledge - Statistics,77%,1,1.0,1.0
"Furthermore, findings show that some 77% of adults understand the relationship between risk and reward, yet only 42% of adults can correctly answer a question about compound interest, on average across participating countries and economies. Even among adults who hold savings products across participating countries and economies, only 46% understand compound interest. • In terms of financial behaviour, on average across participating countries and economies, 70% of adults report that they carefully consider if they can afford something before buying it.","According to the text, fill in the blank: Even among adults who hold savings products across participating countries and economies, only ___ understand compound interest.?",46%,Knowledge - Statistics,46%,1,1.0,1.0
"However, only 26% of adults compare financial products across providers and only 24% of adults seek advice from independent sources when purchasing financial products and services. • On average across participating countries and economies, 15% of adults reported that they have been a victim of at least one type of financial frauds or scams such as phishing scams, scams involving personal information, investment scams, and unauthorized or unrecognized transactions. Across all participating countries and economies, around two out of three adults who have been a victim of one of these types of financial frauds or scams do not reach the minimum target financial literacy score.","According to the text, fill in the blank: • On average across participating countries and economies, ___ of adults reported that they have been a victim of at least one type of financial frauds or scams such as phishing scams, scams involving personal information, investment scams, and unauthorized or unrecognized transactions.?",15%,Knowledge - Statistics,20%,0,0.0,0.0
"• On average across participating countries and economies, 15% of adults reported that they have been a victim of at least one type of financial frauds or scams such as phishing scams, scams involving personal information, investment scams, and unauthorized or unrecognized transactions. Across all participating countries and economies, around two out of three adults who have been a victim of one of these types of financial frauds or scams do not reach the minimum target financial literacy score. Digital financial literacy levels may not be sufficient in light of the opportunities and risks posed by digital financial services • Digital financial literacy is a combination of knowledge, skills, attitudes and behaviours necessary for individuals to be aware of and safely use digital financial services and digital technologies with a view to contributing to their financial well-being (OECD, 2022[5]).","True or False: Based on the provided text, Across all participating countries and economies, around two out of three adults who have been a victim of one of these types of financial frauds or scams do not reach the minimum target financial literacy score.",True,Knowledge - Fact Verification,True,1,,1.0
"Across all participating countries and economies, around two out of three adults who have been a victim of one of these types of financial frauds or scams do not reach the minimum target financial literacy score. Digital financial literacy levels may not be sufficient in light of the opportunities and risks posed by digital financial services • Digital financial literacy is a combination of knowledge, skills, attitudes and behaviours necessary for individuals to be aware of and safely use digital financial services and digital technologies with a view to contributing to their financial well-being (OECD, 2022[5]). Digital financial literacy is a specific area of overall financial literacy.","True or False: Based on the provided text, Digital financial literacy levels may not be sufficient in light of the opportunities and risks posed by digital financial services • Digital financial literacy is a combination of knowledge, skills, attitudes and behaviours necessary for individuals to be aware of and safely use digital financial services and digital technologies with a view to contributing to their financial well-being (OECD, 2022[5]).",True,Knowledge - Fact Verification,True,1,,1.0
"• The average score relating to digital financial literacy across all participating countries and economies is 53 out of 100 points (55 out of 100 across participating OECD countries). On average across all participating countries and economies, only 29% of adults reach the minimum target score of at least 70 points out of 100 on digital financial literacy (34% across participating OECD countries). Digital financial literacy levels are significantly higher among adults who have higher incomes and higher levels of education.","According to the text, fill in the blank: On average across all participating countries and economies, only ___ of adults reach the minimum target score of at least 70 points out of 100 on digital financial literacy (34% across participating OECD countries).?",29%,Knowledge - Statistics,29%,1,1.0,1.0
"Digital financial literacy levels are significantly higher among adults who have higher incomes and higher levels of education. • On average across participating countries and economies, most adults (86%) report that they do not share PINs and passwords of their bank accounts with close friends, however only 49% recognise that it is unsafe to shop online using public Wi-Fi networks. Only 54% understand that the personal data they share online can be used to target them with personalized commercial or financial offers.","According to the text, fill in the blank: • On average across participating countries and economies, most adults (___) report that they do not share PINs and passwords of their bank accounts with close friends, however only 49% recognise that it is unsafe to shop online using public Wi-Fi networks.?",86%,Knowledge - Statistics,86%,1,1.0,1.0
